post_title,post_name,post_parent,ID,sku,parent_sku,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Código,attribute_data:Código,attribute:Códigos,attribute_data:Códigos,attribute:Códigos:,attribute_data:Códigos:,attribute:Marca,attribute_data:Marca
"Soporte rodamiento 5000",soporte-rodamiento-5000,,1139,,,simple,,"Accesorios puertas y ventanas > Rodamientos",,,,,,,,,,
"Aspirador ASP-101-2HP",aspirador-asp-101-2hp,,1140,,,simple,,"Maquinaria, herramientas y software|Maquinaria, herramientas y software > Pantógrafos, tronzadoras y mesas",,,,,,,,,,
"Cortadora TL-302-SA",cortadora-tl302sa,,1141,,,simple,,"Maquinaria, herramientas y software > Pantógrafos, tronzadoras y mesas",,,,,,,,,"Tronzadoras MG",0|1|0
"Cortadora TLG-352-A",cortadora-tlg352a,,1142,,,simple,,"Maquinaria, herramientas y software > Pantógrafos, tronzadoras y mesas",,,,,,,,,"Tronzadoras MG",0|1|0
"Fresadora copiadora C-452-SA",fresadora-copiadora-c-452-sa,,1143,,,simple,,"Maquinaria, herramientas y software|Maquinaria, herramientas y software > Pantógrafos, tronzadoras y mesas",,,,,,,,,"Tronzadoras MG",0|1|0
"Mesa de entrada",mesa-de-entrada,,1144,,,simple,,"Maquinaria, herramientas y software > Pantógrafos, tronzadoras y mesas",,,,,,,,,"Tronzadoras MG",0|1|0
"Mesa de salida",mesa-de-salida,,1145,,,simple,,"Maquinaria, herramientas y software > Pantógrafos, tronzadoras y mesas",,,,,,,,,"Tronzadoras MG",0|1|0
"Retestadora MINI RAFRE 32-SA",retestadora-mini-rafre-32-sa,,1146,,,simple,,"Maquinaria, herramientas y software > Pantógrafos, tronzadoras y mesas",,,,,,,,,"Tronzadoras MG",0|1|0
"Punzonadora manual Anudal",punzonadora-manual-anudal,,1147,,,simple,,"Maquinaria, herramientas y software > Punzonadoras",,,,,,,,,Anudal,0|1|0
"Punzonadora neumática Anudal",punzonadora-neumatica-anudal,,1148,,,simple,,"Maquinaria, herramientas y software > Punzonadoras",,,,,,,,,Anudal,0|1|0
"Matriz AZ Serie 4800",matriz-az-serie-4800,,1149,,,simple,,"Maquinaria, herramientas y software > Matrices y prensas",,,,,,,,,,
"Prensa manual PM-19",prensa-manual-pm-19,,1150,,,simple,,"Maquinaria, herramientas y software > Matrices y prensas",,,,,,,,,,
"Prensa neumática MG P3000",prensa-neumatica-mg-p,,1151,,,simple,,"Maquinaria, herramientas y software > Matrices y prensas",,,,,,,,,"Tronzadoras MG",0|1|0
"Sistema OP 2.1",sistema-op-2-1,,1152,,,simple,,"Maquinaria, herramientas y software|Maquinaria, herramientas y software > Software",,,,,,,,,,
"Nivelador laser JLM550G",nivelador-laser-jlm550g,,1153,,,simple,,"Maquinaria, herramientas y software > Herramientas",,,,,,,,,,
Columnas,columnas,,1154,,,simple,,"Perfiles de aluminio > Esquineros y columnas",,,,,,,,,,
"Esquineros 45°",esquineros-45,,1155,,,simple,,"Perfiles de aluminio > Esquineros y columnas",,,,,,,,,,
"Esquineros 90°",esquineros-90,,1156,,,simple,,"Perfiles de aluminio > Esquineros y columnas",,,,,,,,,,
